ID;Test:1. nadala test (Punktid);Test:2. nadala test (Punktid);Test:3. nadala test (Punktid);Test:4. nadala test (Punktid);Test:5. nadala test (Punktid);Test:6. nadala test (Punktid);Test:7. nadala test (Punktid);Test:8. nadala test (Punktid);Test:9. nadala test (Punktid);Test:10. nadala test (Punktid);Test:11. nadala test (Punktid);Test:12. nadala test (Punktid);Test:13. nadala test (Punktid);Test:14. nadala test (Punktid);Test:15. nadala test (Punktid);Test:16. nadala test (Punktid);Videoloengud kokku (Punktid);VPL harjutus:1. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:2. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:3. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:4. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:5. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:7. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:8. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:9. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:10. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:11. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:13. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:14. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:15. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);Kodutood kokku (Punktid);ulesanne:Esita projekti kirjeldus (Punktid);ulesanne:Projekti algversioon (Punktid);ulesanne:Projekti loppversioon (Punktid);Projekt kokku (Punktid);Test:1. kontrolltoo arvestuslik osa (Punktid);VPL harjutus:1. kontrolltoo programmide esitamine (Punktid);Test:1. KT jareltoo arvestuslik osa (Punktid);VPL harjutus:1. KT jareltoo programmide esitamine (Punktid);Test:1. KT 5.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:1. KT 5.01 lisajareltoo programmide esitamine (Punktid);Test:1. KT 25.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:1. KT 25.01 lisajareltoo programmide esitamine (Punktid);Test:2. kontrolltoo arvestuslik osa (Punktid);VPL harjutus:2. kontrolltoo programmide esitamine (Punktid);Test:2. KT jareltoo arvestuslik osa (Punktid);VPL harjutus:2. KT jareltoo programmide esitamine (Punktid);Test:2. KT 6.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:2. KT 6.01 lisajareltoo programmide esitamine (Punktid);Test:2. KT 26.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:2. KT 26.01 lisajareltoo programmide esitamine (Punktid);Kontrolltood kokku (Punktid);Eksamile paas (Punktid);Test:8.01 eksami arvestuslik osa (Punktid);Test:8.01 eksami punktilise osa 1. ulesanne (Punktid);VPL harjutus:8.01 eksami punktilise osa 2. ja 3. ulesande esitamine (Punktid);Test:14.01 eksami arvestuslik osa (Punktid);Test:14.01 eksami punktilise osa 1. ulesanne (Punktid);VPL harjutus:14.01 eksami punktilise osa 2. ja 3. ulesande esitamine (Punktid);Test:27.01 eksami arvestuslik osa (Punktid);Test:27.01 eksami punktilise osa 1. ulesanne (Punktid);VPL harjutus:27.01 eksami punktilise osa 2. ja 3. ulesande esitamine (Punktid);Eksam kokku (Punktid);VPL harjutus:1. lisaulesanne 0 Muster (Punktid);VPL harjutus:2. lisaulesanne 0 Tekstispiraal (Punktid);VPL harjutus:3. lisaulesanne 0 Salasona (Punktid);VPL harjutus:4. lisaulesanne 0 Pakkimine (Punktid);VPL harjutus:5. lisaulesanne 0 Ristmik (Punktid);VPL harjutus:6. lisaulesanne 0 Laburint (Punktid);8. lisaulesanne 0 Loppkusitlus (Punktid);Praktikumide lisapunktid (Punktid);Projektikonkursi punktid (Punktid);Lisapunktid kokku (Punktid);VPL harjutus:Pokkerikate tuvastamise automaatkontroll (Punktid);Test:Kontrolltoo harjutustest (Punktid);Test:Kontrolltoo harjutustest (Punktid);Test:Naidiseksami arvestuslik osa (Punktid);Test:Naidiseksami punktilise osa 1. ulesanne (Punktid);Kogutulemus (Punktid);Hinne (Punktid)
28;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.5;0.4;0.4;0.4;0.5;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.5;12.5;1;5;5;10.0;0.0;7;1;19;0.0;0.0;0.0;0.0;1;12;0.0;17;0.0;0.0;0.0;0.0;36;1;1;9.1;8;0.0;0.0;0.0;0.0;0.0;0.0;17.1;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;7;8;4;8.5;83.6;83.6
29;0.5;0.4;0.0;0.4;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.63;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.13;0.0
30.0;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.2;0.3;0.5;0.5;0.3;0.3;0.4;0.0;0.1;5.8;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.0;0.5;0.5;0.5;0.0;0.5;0.5;0.3;0.0;0.4;0.5;0.5;0.5;0.5;0.0;0.3;0.0;0.2;0.5;9.5;1;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;39.5;1;1;9.8;17.5;0.0;0.0;0.0;0.0;0.0;0.0;27.3;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;7;0.0;3;6.8;93.1;93.1
31;0.5;0.5;0.0;0.5;0.5;0.3;0.5;0.5;0.4;0.4;0.0;0.0;0.0;0.0;0.2;0.0;4.23;0.5;0.5;0.4;0.0;0.5;0.0;0.4;0.0;0.4;0.0;0.4;0.0;0.4;0.0;0.5;0.0;0.4;0.5;0.5;0.0;0.5;0.0;0.3;0.0;0.5;0.5;7.2;1;5;5;10.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;17;0.0;0.0;17;1;0.0;0.0;0.0;1;10.0;0.0;1;8.8;20.0;28.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.29;0.0;3.5;10.0;67.23;67.23
32;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.3;0.4;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.5;0.4;0.5;12.7;1;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;17;0.0;0.0;0.0;0.0;0.0;0.0;37;1;0.0;0.0;0.0;1;10.0;19;0.0;0.0;0.0;29;2;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;3;0.0;8;9;4;9.2;98.7;98.7
33;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.5;12.5;1;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;19;0.0;0.0;0.0;0.0;0.0;0.0;39;1;0.0;0.0;0.0;1;9.9;19.5;0.0;0.0;0.0;29.4;2;0.0;0.0;2;0.0;2;1;0.0;0.0;7;0.0;7;9;4;9.6;104.9;100.0
34;0.4;0.3;0.2;0.0;0.3;0.4;0.3;0.1;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;2.36;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;7;1;5;5;10.0;0.0;2;1;12;0.0;0.0;0.0;0.0;0.0;6;1;0.0;0.0;0.0;0.0;0.0;18;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;9;0.0;0.0;37.36;0.0
35;0.5;0.5;0.5;0.5;0.5;0.3;0.3;0.5;0.3;0.2;0.1;0.0;0.0;0.0;0.0;0.0;4.23;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.2;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.0;0.5;11;1;5;5;10.0;1;6.5;0.0;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14;1;0.0;0.0;0.0;26;1;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;8;6.85;1.9;0.0;52.23;52.23
36;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;13;1;5;5;10.0;1;19;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;39;1;0.0;0.0;0.0;1;10.0;17.5;0.0;0.0;0.0;27.5;0.0;0.0;2;2;0.0;0.0;1;0.0;0.0;5;1;8;9;4;10.0;101.5;100.0
37;0.5;0.4;0.5;0.4;0.3;0.4;0.4;0.3;0.3;0.2;0.4;0.4;0.2;0.2;0.1;0.2;5.0;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.3;0.5;0.4;0.5;0.5;0.5;0.3;0.5;0.0;0.5;0.3;0.5;0.0;0.5;0.0;0.0;0.0;0.5;9.7;1;5;5;10.0;1;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.5;1;0.0;0.0;0.0;0.0;0.0;25.5;1;0.0;0.0;0.0;1;9.3;11.5;0.0;0.0;0.0;20.8;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;7;8;3.5;9.6;72.0;72.0
38;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;12.5;1;5;0.0;5;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;1;1;9.3;19.5;0.0;0.0;0.0;0.0;0.0;0.0;28.8;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;7;9;4;10.0;94.3;94.3
39;0.0;0.4;0.3;0.3;0.3;0.4;0.5;0.4;0.3;0.4;0.3;0.5;0.3;0.4;0.0;0.3;5.0;0.5;0.5;0.2;0.0;0.4;0.5;0.3;0.4;0.5;0.2;0.5;0.5;0.5;0.5;0.2;0.3;0.3;0.5;0.4;0.0;0.5;0.5;0.0;0.5;0.0;0.0;8.7;1;5;5;10.0;1;15.5;0.0;0.0;0.0;0.0;0.0;0.0;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;35;1;1;8;18;0.0;0.0;0.0;0.0;0.0;0.0;26;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;0.0;8;3;6.8;85.74;85.74
40.0;0.5;0.5;0.4;0.5;0.5;0.4;0.4;0.5;0.3;0.4;0.0;0.4;0.5;0.4;0.0;0.0;5.33;0.5;0.5;0.5;0.5;0.3;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;9.1;1;5;4;9;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;1;0.0;0.0;0.0;1;9.1;17;0.0;0.0;0.0;26.1;0.0;0.0;2;0.0;0.0;0.0;0.0;0.0;0.0;2;0.0;7.21;8;0.0;0.0;91.53;91.53
41;0.5;0.5;0.4;0.5;0.5;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.0;0.0;5.92;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.3;0.5;0.5;0.5;0.0;0.5;0.3;0.5;0.3;0.0;0.0;0.0;0.3;0.5;0.0;0.5;0.0;0.0;8.6;1;5;5;10.0;1;13.5;0.0;0.0;0.0;0.0;0.0;0.0;1;13;0.0;0.0;0.0;0.0;0.0;0.0;26.5;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.0;0.0
42;0.4;0.4;0.0;0.4;0.3;0.3;0.5;0.5;0.0;0.4;0.5;0.5;0.4;0.4;0.1;0.0;5.1;0.5;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.5;0.5;0.2;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;7.7;1;5;5;10.0;1;11;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;31;1;0.0;0.0;0.0;1;8.8;14.5;0.0;0.0;0.0;23.3;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;5;9;3.75;10.0;78.1;78.1
43;0.4;0.4;0.3;0.3;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4;7;0.5;0.0;0.0;0.3;0.4;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.0;0.5;0.5;0.5;0.5;0.5;0.0;0.3;0.5;0.5;0.5;10.3;0.0;5;5;10.0;1;11;0.0;20.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;1;1;8.4;18;0.0;0.0;0.0;0.0;0.0;0.0;26.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;7;4;9.5;93.7;93.7
44;0.5;0.5;0.4;0.5;0.4;0.5;0.5;0.5;0.4;0.4;0.4;0.5;0.4;0.5;0.4;0.4;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.5;0.3;0.5;0.0;0.5;0.5;0.5;0.0;0.5;0.0;0.5;11.1;1;5;5;10.0;1;18;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;38;1;0.0;0.0;0.0;1;9.7;19;0.0;0.0;0.0;28.7;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;8;8.75;4;8.7;95.8;95.8
45;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.1;7;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.3;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;12.1;1;5;4;9;1;14.5;0.0;0.0;0.0;0.0;0.0;0.0;1;10.5;0.0;0.0;0.0;0.0;0.0;0.0;25;1;0.0;0.0;0.0;1;7.2;6;0.0;0.0;0.0;13.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;7;6.25;3;2;67.3;67.3
46;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.2;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;13;1;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;39.5;1;1;10.0;18.5;0.0;0.0;0.0;0.0;0.0;0.0;28.5;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;8;7.5;3.5;9;99;99
47;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.4;0.4;0.3;0.4;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;12.9;1;5;5;10.0;1;16.5;0.0;0.0;0.0;0.0;0.0;0.0;1;18;0.0;0.0;0.0;0.0;0.0;0.0;34.5;1;0.0;0.0;0.0;1;9.6;15;0.0;0.0;0.0;24.6;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;7;6;0.0;0.0;90.0;90.0
48;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.4;0.5;0.4;0.5;0.5;0.5;0.3;0.3;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.0;0.5;0.5;0.5;0.5;0.5;0.0;0.3;0.5;0.0;0.0;0.5;0.5;0.0;0.5;0.0;0.5;9.6;0.0;5;2.5;7.5;1;17.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;16;0.0;0.0;33.5;1;0.0;0.0;0.0;1;9;17;0.0;0.0;0.0;26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;7.75;3.5;8.7;83.6;83.6
49;0.5;0.5;0.3;0.3;0.0;0.3;0.4;0.3;0.0;0.3;0.3;0.3;0.0;0.0;0.0;0.0;3.54;0.5;0.0;0.5;0.0;0.5;0.5;0.3;0.5;0.0;0.5;0.3;0.5;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;7.1;1;5;5;10.0;1;12;0.0;16.5;0.0;0.0;0.0;0.0;0.0;0.0;1;13;0.0;0.0;0.0;0.0;29.5;1;1;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.21;0.0;3.75;8.2;56.24;56.24
50.0;0.4;0.4;0.3;0.3;0.4;0.4;0.4;0.0;0.3;0.3;0.4;0.4;0.0;0.4;0.0;0.0;4.27;0.5;0.5;0.4;0.5;0.3;0.5;0.4;0.0;0.5;0.5;0.4;0.5;0.4;0.0;0.2;0.4;0.2;0.5;0.3;0.0;0.0;0.5;0.0;0.5;0.0;0.0;8;0.0;5;5;10.0;1;10.0;0.0;0.0;0.0;0.0;0.0;0.0;1;16.5;0.0;0.0;0.0;0.0;0.0;0.0;26.5;1;1;8.8;8.5;0.0;0.0;0.0;0.0;0.0;0.0;17.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;1;0.0;6;8;0.0;0.0;67.1;67.1
51;0.5;0.5;0.4;0.4;0.5;0.4;0.5;0.5;0.4;0.4;0.0;0.4;0.4;0.5;0.4;0.4;6.51;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.0;0.3;0.5;0.0;0.5;0.0;0.5;0.4;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;8.6;1;5;5;10.0;0.0;0.0;1;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16;1;0.0;0.0;0.0;23.5;1;1;9.8;7;0.0;0.0;0.0;0.0;0.0;0.0;16.8;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;8;9;4;8.7;66.41;66.41
52;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.3;0.4;0.5;0.5;0.5;0.4;0.4;0.4;0.4;7;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;12.9;1;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;40.0;1;1;10.0;17.5;0.0;0.0;0.0;0.0;0.0;0.0;27.5;0.0;0.0;2;2;2;0.0;1;0.0;0.0;7;0.0;7;6;0.0;9.1;104.4;100.0
53;0.5;0.4;0.3;0.3;0.4;0.5;0.0;0.4;0.2;0.3;0.5;0.4;0.4;0.4;0.2;0.3;5.32;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.3;0.5;0.0;0.5;0.5;0.0;0.5;0.5;0.5;0.5;0.3;0.5;0.3;0.0;0.0;0.5;0.0;0.5;9.7;0.0;5;1;6;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;18;0.0;0.0;0.0;0.0;0.0;0.0;38;1;1;9.4;18.5;0.0;0.0;0.0;0.0;0.0;0.0;27.9;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;7.5;9;4;7.2;87.92;87.92
54;0.0;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.0;0.4;0.4;0.3;0.3;5.76;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.5;12.5;1;5;5;10.0;1;18;0.0;0.0;0.0;0.0;0.0;0.0;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;37.5;1;1;9.3;19;0.0;0.0;0.0;0.0;0.0;0.0;28.3;0.0;0.0;1.9;0.0;0.0;0.0;1;0.0;0.0;2.9;0.0;5.5;9;4;9.1;96.96;96.96
55;0.5;0.4;0.4;0.4;0.5;0.4;0.5;0.5;0.5;0.5;0.3;0.5;0.5;0.5;0.4;0.4;6.98;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.0;0.5;0.0;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.5;0.0;0.5;10.7;1;5;5;10.0;1;17;0.0;0.0;0.0;0.0;0.0;0.0;1;15;0.0;0.0;0.0;0.0;0.0;0.0;32;1;1;9.6;17;0.0;0.0;0.0;0.0;0.0;0.0;26.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;9;3;6.7;86.28;86.28
56;0.5;0.5;0.5;0.2;0.5;0.4;0.5;0.5;0.3;0.5;0.4;0.5;0.5;0.4;0.3;0.3;6.79;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.3;0.5;0.4;0.0;0.5;0.5;0.0;0.5;0.3;0.5;0.5;0.5;0.4;0.5;0.4;0.5;0.3;0.5;11;1;5;5;10.0;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;16.5;0.0;0.0;36;1;0.0;0.0;0.0;1;9.5;16.5;0.0;0.0;0.0;26;1.9;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;2.9;0.0;6;9;4;9.2;92.69;92.69
57;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.2;0.4;0.4;0.4;0.2;0.0;0.2;0.2;5.42;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.2;0.0;0.5;0.5;0.0;0.5;0.4;0.5;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;8.4;0.0;5;5;10.0;1;19;0.0;0.0;0.0;0.0;0.0;0.0;1;18;0.0;0.0;0.0;0.0;0.0;0.0;37;1;1;8.1;12.5;0.0;0.0;0.0;0.0;0.0;0.0;20.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;8.5;4;7.1;81.42;81.42
58;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.4;0.5;0.4;0.2;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.2;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.3;0.5;0.4;0.5;12.3;0.0;5;5;10.0;1;18;0.0;0.0;0.0;0.0;0.0;0.0;1;17;0.0;0.0;0.0;0.0;0.0;0.0;35;1;1;8.1;9.5;0.0;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;0.0;1;2;0.0;3;0.0;8;9;4;9.6;84.9;84.9
59;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.5;12.5;0.0;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;19;0.0;0.0;0.0;0.0;0.0;0.0;39;1;1;9.8;19.5;0.0;0.0;0.0;0.0;0.0;0.0;29.3;2;2;2;2;2;2;0.0;2;0.0;10.0;0.0;8;7.5;4;0.0;107.8;100.0
60.0;0.5;0.0;0.3;0.4;0.4;0.4;0.4;0.3;0.4;0.3;0.0;0.4;0.0;0.0;0.0;0.0;3.81;0.5;0.5;0.0;0.0;0.5;0.5;0.0;0.3;0.5;0.5;0.5;0.5;0.0;0.5;0.2;0.5;0.2;0.0;0.0;0.5;0.5;0.5;0.3;0.5;0.0;0.0;8;1;5;3.5;8.5;1;8.5;0.0;20.0;0.0;0.0;0.0;0.0;1;14;0.0;0.0;0.0;0.0;0.0;0.0;34;1;1;9.5;13.5;0.0;0.0;0.0;0.0;0.0;0.0;23;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;6.36;0.0;4;9.5;78.31;78.31
